Activity,Indicator,Target,Actual,Unit,Date,Status,Region,Comments
Baseline Survey,Number of households surveyed,500,485,households,2024-10-15,Completed,Northern,Good coverage
Farmer Training,Percent of farmers trained on climate-smart practices,80,65,%,2025-01-20,On Track,Northern,Strong participation from women
Input Distribution,Quantity of improved seeds distributed,1200,980,kg,2025-02-10,Delayed,Central,Supply chain delay from supplier
Health Outreach,Number of community members reached with nutrition messages,2500,2750,people,2025-03-05,On Track,Southern,Exceeded target due to radio campaign
Water Point Construction,Number of functional boreholes installed,12,9,boreholes,2025-02-28,On Track,Northern,3 more planned for Q2
School Feeding,Percent of targeted schools with daily meals,100,92,%,2025-03-12,On Track,Central,8 schools still need kitchen upgrades
Livestock Vaccination,Number of cattle vaccinated,3500,2890,animals,2025-01-25,Delayed,Northern,Vet team short-staffed
Market Linkage,Number of farmer groups linked to buyers,25,18,groups,2025-03-01,On Track,Southern,Good price negotiations
Gender Training,% of women in leadership positions in groups,40,35,%,2025-02-20,On Track,All,Need more in Central region
Monitoring Visits,Number of field monitoring visits conducted,36,31,visits,2025-03-10,On Track,Northern,5 visits postponed due to rains
Yield Assessment,Average yield increase for maize (kg/ha),1200,980,kg/ha,2025-03-15,Behind,Northern,Drought in some areas
Community Mobilization,Number of village savings groups formed,30,33,groups,2025-02-28,Completed,All,Excellent community buy-in
